"","zip","sdi_decile"
"598","02903",10
"599","02904",9
"600","02905",10
"601","02906",5
"602","02907",10
"603","02908",9
"604","02909",10
"605","02910",5
"606","02911",7
"607","02912",1
"608","02914",8
"609","02915",4
"610","02916",3
"611","02917",2
"612","02919",4
"613","02920",6
"614","02921",1
"615","03031",1
"616","03032",1
"617","03033",1
"618","03034",1
"619","03036",1
"620","03037",2
"621","03038",4
"622","03042",2
"623","03043",1
"624","03044",1
"625","03045",2
"626","03046",1
"627","03047",3
"628","03048",2
"629","03049",1
"630","03051",1
"631","03052",1
"632","03053",1
"633","03054",1
"634","03055",3
"635","03057",1
"636","03060",9
"637","03062",2
"638","03063",3
"639","03064",6
"640","03070",1
"641","03071",1
"642","03076",1
"643","03077",3
"644","03079",2
"645","03082",1
"646","03084",2
"647","03086",1
"648","03087",1
"649","03101",10
"650","03102",8
"651","03103",9
"652","03104",6
"653","03106",1
"654","03109",2
"655","03110",1
"656","03215",1
"657","03216",3
"658","03217",7
"659","03218",2
"660","03220",3
"661","03221",1
"662","03222",3
"663","03223",3
"664","03224",1
"665","03225",2
"666","03226",1
"667","03227",1
"668","03229",1
"669","03230",2
"670","03231",1
"671","03233",1
"672","03234",2
"673","03235",5
"674","03237",2
"675","03238",2
"676","03240",4
"677","03241",2
"678","03242",3
"679","03243",3
"680","03244",2
"681","03245",3
"682","03246",5
"683","03249",1
"684","03251",3
"685","03253",4
"686","03254",1
"687","03255",1
"688","03256",2
"689","03257",1
"690","03258",1
"691","03259",1
"692","03260",1
"693","03261",1
"694","03262",3
"695","03263",6
"696","03264",6
"697","03266",4
"698","03268",2
"699","03269",1
"700","03273",1
"701","03275",3
"702","03276",4
"703","03278",3
"704","03279",2
"705","03280",1
"706","03281",1
"707","03282",2
"708","03284",2
"709","03285",1
"710","03287",1
"711","03290",1
"712","03291",4
"713","03293",1
"714","03301",6
"715","03303",4
"716","03304",1
"717","03307",2
"718","03431",6
"719","03440",2
"720","03441",6
"721","03442",3
"722","03443",1
"723","03444",1
"724","03445",3
"725","03446",2
"726","03447",1
"727","03448",2
"728","03449",1
"729","03450",1
"730","03451",4
"731","03452",3
"732","03455",4
"733","03456",2
"734","03457",2
"735","03458",4
"736","03461",1
"737","03462",1
"738","03464",1
"739","03465",4
"740","03466",1
"741","03467",1
"742","03470",6
"743","03561",8
"744","03570",9
"745","03574",3
"746","03575",2
"747","03576",5
"748","03579",3
"749","03580",1
"750","03581",2
"751","03582",6
"752","03583",1
"753","03584",4
"754","03585",4
"755","03586",1
"756","03588",3
"757","03590",8
"758","03592",2
"759","03593",1
"760","03595",2
"761","03597",8
"762","03598",5
"763","03601",1
"764","03602",5
"765","03603",5
"766","03604",1
"767","03605",3
"768","03607",1
"769","03608",1
"770","03609",3
"771","03740",2
"772","03741",2
"773","03743",7
"774","03745",2
"775","03746",1
"776","03748",2
"777","03750",1
"778","03751",5
"779","03752",5
"780","03753",1
"781","03754",2
"782","03755",3
"783","03765",1
"784","03766",5
"785","03768",1
"786","03770",2
"787","03771",1
"788","03773",5
"789","03774",3
"790","03777",3
"791","03779",1
"792","03780",2
"793","03781",1
"794","03782",2
"795","03784",5
"796","03785",6
"797","03801",3
"798","03809",1
"799","03810",1
"800","03811",1
"801","03812",4
"802","03813",2
"803","03814",5
"804","03816",2
"805","03817",6
"806","03818",7
"807","03819",1
"808","03820",5
"809","03823",1
"810","03824",6
"811","03825",1
"812","03826",3
"813","03827",1
"814","03830",2
"815","03832",1
"816","03833",2
"817","03835",5
"818","03836",1
"819","03837",4
"820","03838",3
"821","03839",6
"822","03840",1
"823","03841",1
"824","03842",1
"825","03844",1
"826","03845",1
"827","03846",2
"828","03847",1
"829","03848",2
"830","03849",3
"831","03850",1
"832","03851",2
"833","03852",1
"834","03853",2
"835","03854",1
"836","03855",1
"837","03856",1
"838","03857",3
"839","03858",1
"840","03860",4
"841","03861",1
"842","03862",1
"843","03864",6
"844","03865",1
"845","03867",5
"846","03868",6
"847","03869",2
"848","03870",1
"849","03871",1
"850","03872",1
"851","03873",1
"852","03874",4
"853","03875",1
"854","03878",5
"855","03882",3
"856","03883",3
"857","03884",1
"858","03885",1
"859","03886",2
"860","03887",2
"861","03890",1
"862","03894",2
"863","03901",1
"864","03902",1
"865","03903",1
"866","03904",3
"867","03905",1
"868","03906",1
"869","03907",2
"870","03908",2
"871","03909",1
"872","03910",2
"873","03911",NA
"874","04001",2
"875","04002",2
"876","04003",2
"877","04005",6
"878","04006",4
"879","04008",2
"880","04009",4
"881","04010",2
"882","04011",4
"883","04015",5
"884","04017",2
"885","04019",1
"886","04020",4
"887","04021",2
"888","04022",3
"889","04024",3
"890","04027",4
"891","04029",2
"892","04030",3
"893","04032",1
"894","04037",3
"895","04038",1
"896","04039",2
"897","04040",3
"898","04041",5
"899","04042",2
"900","04043",2
"901","04046",1
"902","04047",4
"903","04048",4
"904","04049",1
"905","04050",1
"906","04051",2
"907","04055",3
"908","04056",1
"909","04057",1
"910","04061",4
"911","04062",2
"912","04063",4
"913","04064",4
"914","04066",1
