"model","time","sex","outcome","term","coefficient"
"base","10yr","female","chd","age_sbp_gte_110",-0.0898086
"base","10yr","male","chd","age_sbp_gte_110",-0.0850404
"base","10yr","female","stroke","age_sbp_gte_110",-0.1191213
"base","10yr","male","stroke","age_sbp_gte_110",-0.1155391
"base","10yr","female","total_cvd","age_dm",-0.27057
"base","10yr","male","total_cvd","age_dm",-0.2251948
"base","10yr","female","ascvd","age_dm",-0.2417542
"base","10yr","male","ascvd","age_dm",-0.2018525
"base","10yr","female","heart_failure","age_dm",-0.3581041
"base","10yr","male","heart_failure","age_dm",-0.3040924
"base","10yr","female","chd","age_dm",-0.2569041
"base","10yr","male","chd","age_dm",-0.2107552
"base","10yr","female","stroke","age_dm",-0.2480549
"base","10yr","male","stroke","age_dm",-0.2123743
"base","10yr","female","total_cvd","age_smoking",-0.078715
"base","10yr","male","total_cvd","age_smoking",-0.0895067
"base","10yr","female","ascvd","age_smoking",-0.0791142
"base","10yr","male","ascvd","age_smoking",-0.0970527
"base","10yr","female","heart_failure","age_smoking",-0.1159453
"base","10yr","male","heart_failure","age_smoking",-0.1401688
"base","10yr","female","chd","age_smoking",-0.0786607
"base","10yr","male","chd","age_smoking",-0.1206397
"base","10yr","female","stroke","age_smoking",-0.0998063
"base","10yr","male","stroke","age_smoking",-0.0824133
"base","10yr","female","total_cvd","age_bmi_gte_30",0
"base","10yr","male","total_cvd","age_bmi_gte_30",0
"base","10yr","female","ascvd","age_bmi_gte_30",0
"base","10yr","male","ascvd","age_bmi_gte_30",0
"base","10yr","female","heart_failure","age_bmi_gte_30",-0.003878
"base","10yr","male","heart_failure","age_bmi_gte_30",0.0068126
"base","10yr","female","chd","age_bmi_gte_30",0
"base","10yr","male","chd","age_bmi_gte_30",0
"base","10yr","female","stroke","age_bmi_gte_30",0
"base","10yr","male","stroke","age_bmi_gte_30",0
"base","10yr","female","total_cvd","age_egfr_lt_60",-0.1637806
"base","10yr","male","total_cvd","age_egfr_lt_60",-0.1543702
"base","10yr","female","ascvd","age_egfr_lt_60",-0.1671492
"base","10yr","male","ascvd","age_egfr_lt_60",-0.1217081
"base","10yr","female","heart_failure","age_egfr_lt_60",-0.1884289
"base","10yr","male","heart_failure","age_egfr_lt_60",-0.1797778
"base","10yr","female","chd","age_egfr_lt_60",-0.1597513
"base","10yr","male","chd","age_egfr_lt_60",-0.07795
"base","10yr","female","stroke","age_egfr_lt_60",-0.1759075
"base","10yr","male","stroke","age_egfr_lt_60",-0.180789
"base","10yr","female","total_cvd","constant",-3.307728
"base","10yr","male","total_cvd","constant",-3.031168
"base","10yr","female","ascvd","constant",-3.819975
"base","10yr","male","ascvd","constant",-3.500655
"base","10yr","female","heart_failure","constant",-4.310409
"base","10yr","male","heart_failure","constant",-3.946391
"base","10yr","female","chd","constant",-4.608751
"base","10yr","male","chd","constant",-4.156753
"base","10yr","female","stroke","constant",-4.409199
"base","10yr","male","stroke","constant",-4.20881
"base","30yr","female","total_cvd","age",0.5503079
"base","30yr","male","total_cvd","age",0.4627309
"base","30yr","female","ascvd","age",0.4669202
"base","30yr","male","ascvd","age",0.3994099
"base","30yr","female","heart_failure","age",0.6254374
"base","30yr","male","heart_failure","age",0.5681541
"base","30yr","female","chd","age",0.4912423
"base","30yr","male","chd","age",0.4171209
"base","30yr","female","stroke","age",0.4366978
"base","30yr","male","stroke","age",0.4003448
"base","30yr","female","total_cvd","age_squared",-0.0928369
"base","30yr","male","total_cvd","age_squared",-0.0984281
"base","30yr","female","ascvd","age_squared",-0.0893118
"base","30yr","male","ascvd","age_squared",-0.0937484
"base","30yr","female","heart_failure","age_squared",-0.0983038
"base","30yr","male","heart_failure","age_squared",-0.1048388
"base","30yr","female","chd","age_squared",-0.0917078
"base","30yr","male","chd","age_squared",-0.0949994
"base","30yr","female","stroke","age_squared",-0.0873673
"base","30yr","male","stroke","age_squared",-0.0935927
"base","30yr","female","total_cvd","non_hdl_c",0.0409794
"base","30yr","male","total_cvd","non_hdl_c",0.0836088
"base","30yr","female","ascvd","non_hdl_c",0.1256901
"base","30yr","male","ascvd","non_hdl_c",0.1744643
"base","30yr","female","heart_failure","non_hdl_c",0
"base","30yr","male","heart_failure","non_hdl_c",0
"base","30yr","female","chd","non_hdl_c",0.1878256
"base","30yr","male","chd","non_hdl_c",0.2651913
"base","30yr","female","stroke","non_hdl_c",0.0586334
"base","30yr","male","stroke","non_hdl_c",0.0309419
"base","30yr","female","total_cvd","hdl_c",-0.1663306
"base","30yr","male","total_cvd","hdl_c",-0.1029824
"base","30yr","female","ascvd","hdl_c",-0.1542255
"base","30yr","male","ascvd","hdl_c",-0.120203
"base","30yr","female","heart_failure","hdl_c",0
"base","30yr","male","heart_failure","hdl_c",0
"base","30yr","female","chd","hdl_c",-0.2035703
"base","30yr","male","chd","hdl_c",-0.1879446
"base","30yr","female","stroke","hdl_c",-0.1069016
"base","30yr","male","stroke","hdl_c",-0.0280763
"base","30yr","female","total_cvd","sbp_lt_110",-0.1628654
"base","30yr","male","total_cvd","sbp_lt_110",-0.2140352
"base","30yr","female","ascvd","sbp_lt_110",-0.0018093
"base","30yr","male","ascvd","sbp_lt_110",-0.0665117
"base","30yr","female","heart_failure","sbp_lt_110",-0.3919241
"base","30yr","male","heart_failure","sbp_lt_110",-0.4761564
"base","30yr","female","chd","sbp_lt_110",-0.0030222
"base","30yr","male","chd","sbp_lt_110",-0.0971746
"base","30yr","female","stroke","sbp_lt_110",-0.0317106
"base","30yr","male","stroke","sbp_lt_110",-0.047704
"base","30yr","female","total_cvd","sbp_gte_110",0.3299505
"base","30yr","male","total_cvd","sbp_gte_110",0.2904325
"base","30yr","female","ascvd","sbp_gte_110",0.322949
"base","30yr","male","ascvd","sbp_gte_110",0.2753037
"base","30yr","female","heart_failure","sbp_gte_110",0.3142295
"base","30yr","male","heart_failure","sbp_gte_110",0.30324
"base","30yr","female","chd","sbp_gte_110",0.3111757
"base","30yr","male","chd","sbp_gte_110",0.258931
"base","30yr","female","stroke","sbp_gte_110",0.3272741
"base","30yr","male","stroke","sbp_gte_110",0.2925734
"base","30yr","female","total_cvd","dm",0.6793894
"base","30yr","male","total_cvd","dm",0.5331276
"base","30yr","female","ascvd","dm",0.6296707
"base","30yr","male","ascvd","dm",0.4790257
"base","30yr","female","heart_failure","dm",0.8330787
"base","30yr","male","heart_failure","dm",0.6840338
"base","30yr","female","chd","dm",0.6803247
"base","30yr","male","chd","dm",0.4956463
"base","30yr","female","stroke","dm",0.5841726
"base","30yr","male","stroke","dm",0.4236823
"base","30yr","female","total_cvd","smoking",0.3196112
"base","30yr","male","total_cvd","smoking",0.2141914
"base","30yr","female","ascvd","smoking",0.268292
"base","30yr","male","ascvd","smoking",0.1782635
"base","30yr","female","heart_failure","smoking",0.3438651
"base","30yr","male","heart_failure","smoking",0.2656273
"base","30yr","female","chd","smoking",0.3215313
"base","30yr","male","chd","smoking",0.1728844
"base","30yr","female","stroke","smoking",0.2045681
"base","30yr","male","stroke","smoking",0.1675238
"base","30yr","female","total_cvd","bmi_lt_30",0
"base","30yr","male","total_cvd","bmi_lt_30",0
